batch_id,product_id,product_name,category,arrival_date,arrival_timestamp,quantity_received,quantity_available,unit_cost,total_cost,expiration_date,expiration_time,shelf_life_days,days_until_expiry,status,storage_temp_required,supplier_id
BATCH_00029,P005,Grilled Chicken Breast,Meat,2023-01-07,2023-01-07 06:00:00,170,170,8.0,1360.0,2023-01-11,2023-01-11 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00030,P006,Lobster Tail,Seafood,2023-01-07,2023-01-07 06:00:00,33,33,35.0,1155.0,2023-01-09,2023-01-09 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00031,P007,Pasta Carbonara,Pasta,2023-01-07,2023-01-07 06:00:00,188,188,6.0,1128.0,2023-01-14,2023-01-14 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00032,P008,French Onion Soup,Soups,2023-01-07,2023-01-07 06:00:00,116,116,3.5,406.0,2023-01-12,2023-01-12 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00033,P009,Chocolate Lava Cake,Desserts,2023-01-07,2023-01-07 06:00:00,83,83,4.0,332.0,2023-01-11,2023-01-11 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00034,P010,Craft Beer (Draft),Beverages,2023-01-07,2023-01-07 06:00:00,307,307,3.0,921.0,2023-01-21,2023-01-21 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00035,P011,House Wine (Glass),Beverages,2023-01-07,2023-01-07 06:00:00,231,231,4.0,924.0,2023-02-06,2023-02-06 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00036,P012,Ice Cream Sundae,Desserts,2023-01-07,2023-01-07 06:00:00,91,91,3.0,273.0,2023-03-08,2023-03-08 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00037,P001,Fresh Salmon Fillet,Seafood,2023-01-10,2023-01-10 06:00:00,76,76,18.5,1406.0,2023-01-13,2023-01-13 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00038,P002,Ribeye Steak,Meat,2023-01-10,2023-01-10 06:00:00,84,84,22.0,1848.0,2023-01-15,2023-01-15 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00039,P003,Caesar Salad Mix,Vegetables,2023-01-10,2023-01-10 06:00:00,158,158,4.5,711.0,2023-01-14,2023-01-14 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00040,P004,Tiramisu Dessert,Desserts,2023-01-10,2023-01-10 06:00:00,112,112,5.0,560.0,2023-01-13,2023-01-13 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00041,P005,Grilled Chicken Breast,Meat,2023-01-10,2023-01-10 06:00:00,142,142,8.0,1136.0,2023-01-14,2023-01-14 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00042,P006,Lobster Tail,Seafood,2023-01-10,2023-01-10 06:00:00,39,39,35.0,1365.0,2023-01-12,2023-01-12 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00043,P007,Pasta Carbonara,Pasta,2023-01-10,2023-01-10 06:00:00,150,150,6.0,900.0,2023-01-17,2023-01-17 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00044,P008,French Onion Soup,Soups,2023-01-10,2023-01-10 06:00:00,151,151,3.5,528.5,2023-01-15,2023-01-15 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00045,P009,Chocolate Lava Cake,Desserts,2023-01-10,2023-01-10 06:00:00,90,90,4.0,360.0,2023-01-14,2023-01-14 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00046,P010,Craft Beer (Draft),Beverages,2023-01-10,2023-01-10 06:00:00,279,279,3.0,837.0,2023-01-24,2023-01-24 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00047,P011,House Wine (Glass),Beverages,2023-01-10,2023-01-10 06:00:00,184,184,4.0,736.0,2023-02-09,2023-02-09 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00048,P012,Ice Cream Sundae,Desserts,2023-01-10,2023-01-10 06:00:00,83,83,3.0,249.0,2023-03-11,2023-03-11 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00049,P001,Fresh Salmon Fillet,Seafood,2023-01-13,2023-01-13 06:00:00,83,83,18.5,1535.5,2023-01-16,2023-01-16 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00050,P002,Ribeye Steak,Meat,2023-01-13,2023-01-13 06:00:00,87,87,22.0,1914.0,2023-01-18,2023-01-18 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00051,P003,Caesar Salad Mix,Vegetables,2023-01-13,2023-01-13 06:00:00,173,173,4.5,778.5,2023-01-17,2023-01-17 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00052,P004,Tiramisu Dessert,Desserts,2023-01-13,2023-01-13 06:00:00,127,127,5.0,635.0,2023-01-16,2023-01-16 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00053,P005,Grilled Chicken Breast,Meat,2023-01-13,2023-01-13 06:00:00,191,191,8.0,1528.0,2023-01-17,2023-01-17 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00054,P006,Lobster Tail,Seafood,2023-01-13,2023-01-13 06:00:00,45,45,35.0,1575.0,2023-01-15,2023-01-15 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00055,P007,Pasta Carbonara,Pasta,2023-01-13,2023-01-13 06:00:00,187,187,6.0,1122.0,2023-01-20,2023-01-20 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00056,P008,French Onion Soup,Soups,2023-01-13,2023-01-13 06:00:00,152,152,3.5,532.0,2023-01-18,2023-01-18 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00057,P009,Chocolate Lava Cake,Desserts,2023-01-13,2023-01-13 06:00:00,84,84,4.0,336.0,2023-01-17,2023-01-17 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00058,P010,Craft Beer (Draft),Beverages,2023-01-13,2023-01-13 06:00:00,234,234,3.0,702.0,2023-01-27,2023-01-27 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00059,P011,House Wine (Glass),Beverages,2023-01-13,2023-01-13 06:00:00,165,165,4.0,660.0,2023-02-12,2023-02-12 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00060,P012,Ice Cream Sundae,Desserts,2023-01-13,2023-01-13 06:00:00,77,77,3.0,231.0,2023-03-14,2023-03-14 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00061,P001,Fresh Salmon Fillet,Seafood,2023-01-16,2023-01-16 06:00:00,79,79,18.5,1461.5,2023-01-19,2023-01-19 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00062,P002,Ribeye Steak,Meat,2023-01-16,2023-01-16 06:00:00,90,90,22.0,1980.0,2023-01-21,2023-01-21 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00063,P003,Caesar Salad Mix,Vegetables,2023-01-16,2023-01-16 06:00:00,166,166,4.5,747.0,2023-01-20,2023-01-20 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00064,P004,Tiramisu Dessert,Desserts,2023-01-16,2023-01-16 06:00:00,109,109,5.0,545.0,2023-01-19,2023-01-19 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00065,P005,Grilled Chicken Breast,Meat,2023-01-16,2023-01-16 06:00:00,151,151,8.0,1208.0,2023-01-20,2023-01-20 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00066,P006,Lobster Tail,Seafood,2023-01-16,2023-01-16 06:00:00,40,40,35.0,1400.0,2023-01-18,2023-01-18 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00067,P007,Pasta Carbonara,Pasta,2023-01-16,2023-01-16 06:00:00,157,157,6.0,942.0,2023-01-23,2023-01-23 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00068,P008,French Onion Soup,Soups,2023-01-16,2023-01-16 06:00:00,146,146,3.5,511.0,2023-01-21,2023-01-21 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00069,P009,Chocolate Lava Cake,Desserts,2023-01-16,2023-01-16 06:00:00,83,83,4.0,332.0,2023-01-20,2023-01-20 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00070,P010,Craft Beer (Draft),Beverages,2023-01-16,2023-01-16 06:00:00,310,310,3.0,930.0,2023-01-30,2023-01-30 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00071,P011,House Wine (Glass),Beverages,2023-01-16,2023-01-16 06:00:00,217,217,4.0,868.0,2023-02-15,2023-02-15 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00072,P012,Ice Cream Sundae,Desserts,2023-01-16,2023-01-16 06:00:00,73,73,3.0,219.0,2023-03-17,2023-03-17 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00073,P001,Fresh Salmon Fillet,Seafood,2023-01-19,2023-01-19 06:00:00,67,67,18.5,1239.5,2023-01-22,2023-01-22 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00074,P002,Ribeye Steak,Meat,2023-01-19,2023-01-19 06:00:00,110,110,22.0,2420.0,2023-01-24,2023-01-24 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00075,P003,Caesar Salad Mix,Vegetables,2023-01-19,2023-01-19 06:00:00,159,159,4.5,715.5,2023-01-23,2023-01-23 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00076,P004,Tiramisu Dessert,Desserts,2023-01-19,2023-01-19 06:00:00,125,125,5.0,625.0,2023-01-22,2023-01-22 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00077,P005,Grilled Chicken Breast,Meat,2023-01-19,2023-01-19 06:00:00,181,181,8.0,1448.0,2023-01-23,2023-01-23 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00078,P006,Lobster Tail,Seafood,2023-01-19,2023-01-19 06:00:00,33,33,35.0,1155.0,2023-01-21,2023-01-21 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00079,P007,Pasta Carbonara,Pasta,2023-01-19,2023-01-19 06:00:00,172,172,6.0,1032.0,2023-01-26,2023-01-26 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00080,P008,French Onion Soup,Soups,2023-01-19,2023-01-19 06:00:00,113,113,3.5,395.5,2023-01-24,2023-01-24 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00081,P009,Chocolate Lava Cake,Desserts,2023-01-19,2023-01-19 06:00:00,112,112,4.0,448.0,2023-01-23,2023-01-23 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00082,P010,Craft Beer (Draft),Beverages,2023-01-19,2023-01-19 06:00:00,275,275,3.0,825.0,2023-02-02,2023-02-02 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00083,P011,House Wine (Glass),Beverages,2023-01-19,2023-01-19 06:00:00,185,185,4.0,740.0,2023-02-18,2023-02-18 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00084,P012,Ice Cream Sundae,Desserts,2023-01-19,2023-01-19 06:00:00,69,69,3.0,207.0,2023-03-20,2023-03-20 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00085,P001,Fresh Salmon Fillet,Seafood,2023-01-22,2023-01-22 06:00:00,76,76,18.5,1406.0,2023-01-25,2023-01-25 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00086,P002,Ribeye Steak,Meat,2023-01-22,2023-01-22 06:00:00,92,92,22.0,2024.0,2023-01-27,2023-01-27 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00087,P003,Caesar Salad Mix,Vegetables,2023-01-22,2023-01-22 06:00:00,160,160,4.5,720.0,2023-01-26,2023-01-26 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00088,P004,Tiramisu Dessert,Desserts,2023-01-22,2023-01-22 06:00:00,121,121,5.0,605.0,2023-01-25,2023-01-25 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00089,P005,Grilled Chicken Breast,Meat,2023-01-22,2023-01-22 06:00:00,188,188,8.0,1504.0,2023-01-26,2023-01-26 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00090,P006,Lobster Tail,Seafood,2023-01-22,2023-01-22 06:00:00,39,39,35.0,1365.0,2023-01-24,2023-01-24 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00091,P007,Pasta Carbonara,Pasta,2023-01-22,2023-01-22 06:00:00,156,156,6.0,936.0,2023-01-29,2023-01-29 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00092,P008,French Onion Soup,Soups,2023-01-22,2023-01-22 06:00:00,142,142,3.5,497.0,2023-01-27,2023-01-27 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00093,P009,Chocolate Lava Cake,Desserts,2023-01-22,2023-01-22 06:00:00,108,108,4.0,432.0,2023-01-26,2023-01-26 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00094,P010,Craft Beer (Draft),Beverages,2023-01-22,2023-01-22 06:00:00,269,269,3.0,807.0,2023-02-05,2023-02-05 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00095,P011,House Wine (Glass),Beverages,2023-01-22,2023-01-22 06:00:00,217,217,4.0,868.0,2023-02-21,2023-02-21 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00096,P012,Ice Cream Sundae,Desserts,2023-01-22,2023-01-22 06:00:00,82,82,3.0,246.0,2023-03-23,2023-03-23 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00097,P001,Fresh Salmon Fillet,Seafood,2023-01-25,2023-01-25 06:00:00,83,83,18.5,1535.5,2023-01-28,2023-01-28 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00098,P002,Ribeye Steak,Meat,2023-01-25,2023-01-25 06:00:00,96,96,22.0,2112.0,2023-01-30,2023-01-30 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00099,P003,Caesar Salad Mix,Vegetables,2023-01-25,2023-01-25 06:00:00,122,122,4.5,549.0,2023-01-29,2023-01-29 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00100,P004,Tiramisu Dessert,Desserts,2023-01-25,2023-01-25 06:00:00,99,99,5.0,495.0,2023-01-28,2023-01-28 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00101,P005,Grilled Chicken Breast,Meat,2023-01-25,2023-01-25 06:00:00,136,136,8.0,1088.0,2023-01-29,2023-01-29 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00102,P006,Lobster Tail,Seafood,2023-01-25,2023-01-25 06:00:00,41,41,35.0,1435.0,2023-01-27,2023-01-27 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00103,P007,Pasta Carbonara,Pasta,2023-01-25,2023-01-25 06:00:00,169,169,6.0,1014.0,2023-02-01,2023-02-01 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00104,P008,French Onion Soup,Soups,2023-01-25,2023-01-25 06:00:00,132,132,3.5,462.0,2023-01-30,2023-01-30 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00105,P009,Chocolate Lava Cake,Desserts,2023-01-25,2023-01-25 06:00:00,113,113,4.0,452.0,2023-01-29,2023-01-29 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00106,P010,Craft Beer (Draft),Beverages,2023-01-25,2023-01-25 06:00:00,239,239,3.0,717.0,2023-02-08,2023-02-08 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00107,P011,House Wine (Glass),Beverages,2023-01-25,2023-01-25 06:00:00,191,191,4.0,764.0,2023-02-24,2023-02-24 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00108,P012,Ice Cream Sundae,Desserts,2023-01-25,2023-01-25 06:00:00,90,90,3.0,270.0,2023-03-26,2023-03-26 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00109,P001,Fresh Salmon Fillet,Seafood,2023-01-28,2023-01-28 06:00:00,74,74,18.5,1369.0,2023-01-31,2023-01-31 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00110,P002,Ribeye Steak,Meat,2023-01-28,2023-01-28 06:00:00,83,83,22.0,1826.0,2023-02-02,2023-02-02 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00111,P003,Caesar Salad Mix,Vegetables,2023-01-28,2023-01-28 06:00:00,137,137,4.5,616.5,2023-02-01,2023-02-01 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00112,P004,Tiramisu Dessert,Desserts,2023-01-28,2023-01-28 06:00:00,101,101,5.0,505.0,2023-01-31,2023-01-31 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00113,P005,Grilled Chicken Breast,Meat,2023-01-28,2023-01-28 06:00:00,190,190,8.0,1520.0,2023-02-01,2023-02-01 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00114,P006,Lobster Tail,Seafood,2023-01-28,2023-01-28 06:00:00,44,44,35.0,1540.0,2023-01-30,2023-01-30 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00115,P007,Pasta Carbonara,Pasta,2023-01-28,2023-01-28 06:00:00,190,190,6.0,1140.0,2023-02-04,2023-02-04 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00116,P008,French Onion Soup,Soups,2023-01-28,2023-01-28 06:00:00,149,149,3.5,521.5,2023-02-02,2023-02-02 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00117,P009,Chocolate Lava Cake,Desserts,2023-01-28,2023-01-28 06:00:00,109,109,4.0,436.0,2023-02-01,2023-02-01 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00118,P010,Craft Beer (Draft),Beverages,2023-01-28,2023-01-28 06:00:00,233,233,3.0,699.0,2023-02-11,2023-02-11 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00119,P011,House Wine (Glass),Beverages,2023-01-28,2023-01-28 06:00:00,226,226,4.0,904.0,2023-02-27,2023-02-27 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00120,P012,Ice Cream Sundae,Desserts,2023-01-28,2023-01-28 06:00:00,83,83,3.0,249.0,2023-03-29,2023-03-29 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00121,P001,Fresh Salmon Fillet,Seafood,2023-01-31,2023-01-31 06:00:00,91,91,18.5,1683.5,2023-02-03,2023-02-03 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00122,P002,Ribeye Steak,Meat,2023-01-31,2023-01-31 06:00:00,113,113,22.0,2486.0,2023-02-05,2023-02-05 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00123,P003,Caesar Salad Mix,Vegetables,2023-01-31,2023-01-31 06:00:00,138,138,4.5,621.0,2023-02-04,2023-02-04 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00124,P004,Tiramisu Dessert,Desserts,2023-01-31,2023-01-31 06:00:00,99,99,5.0,495.0,2023-02-03,2023-02-03 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00125,P005,Grilled Chicken Breast,Meat,2023-01-31,2023-01-31 06:00:00,148,148,8.0,1184.0,2023-02-04,2023-02-04 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00126,P006,Lobster Tail,Seafood,2023-01-31,2023-01-31 06:00:00,38,38,35.0,1330.0,2023-02-02,2023-02-02 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00127,P007,Pasta Carbonara,Pasta,2023-01-31,2023-01-31 06:00:00,202,202,6.0,1212.0,2023-02-07,2023-02-07 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00128,P008,French Onion Soup,Soups,2023-01-31,2023-01-31 06:00:00,149,149,3.5,521.5,2023-02-05,2023-02-05 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00129,P009,Chocolate Lava Cake,Desserts,2023-01-31,2023-01-31 06:00:00,81,81,4.0,324.0,2023-02-04,2023-02-04 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00130,P010,Craft Beer (Draft),Beverages,2023-01-31,2023-01-31 06:00:00,265,265,3.0,795.0,2023-02-14,2023-02-14 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00131,P011,House Wine (Glass),Beverages,2023-01-31,2023-01-31 06:00:00,192,192,4.0,768.0,2023-03-02,2023-03-02 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00132,P012,Ice Cream Sundae,Desserts,2023-01-31,2023-01-31 06:00:00,74,74,3.0,222.0,2023-04-01,2023-04-01 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00133,P001,Fresh Salmon Fillet,Seafood,2023-02-03,2023-02-03 06:00:00,71,71,18.5,1313.5,2023-02-06,2023-02-06 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00134,P002,Ribeye Steak,Meat,2023-02-03,2023-02-03 06:00:00,93,93,22.0,2046.0,2023-02-08,2023-02-08 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00135,P003,Caesar Salad Mix,Vegetables,2023-02-03,2023-02-03 06:00:00,172,172,4.5,774.0,2023-02-07,2023-02-07 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00136,P004,Tiramisu Dessert,Desserts,2023-02-03,2023-02-03 06:00:00,108,108,5.0,540.0,2023-02-06,2023-02-06 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00137,P005,Grilled Chicken Breast,Meat,2023-02-03,2023-02-03 06:00:00,166,166,8.0,1328.0,2023-02-07,2023-02-07 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00138,P006,Lobster Tail,Seafood,2023-02-03,2023-02-03 06:00:00,42,42,35.0,1470.0,2023-02-05,2023-02-05 23:59:00,2,2,Warning,Refrigerated,SUP_005
